Tip ID,Frame,Y,X
535,0,5063,2669
536,0,5066,2194
537,0,5066,3169
538,0,5067,2530
539,0,5069,2842
540,0,5072,3143
541,0,5074,2587
542,0,5075,2507
543,0,5078,1676
544,0,5079,2585
545,0,5081,2153
546,0,5082,2179
547,0,5083,2537
548,0,5084,2157
549,0,5084,2734
550,0,5085,2163
551,0,5086,2144
552,0,5086,2525
553,0,5088,2722
554,0,5088,2853
555,0,5093,3101
556,0,5095,2164
557,0,5096,3279
558,0,5097,2610
559,0,5098,3011
560,0,5099,2142
561,0,5100,2539
562,0,5102,2152
563,0,5103,2746
564,0,5106,2610
565,0,5107,9286
566,0,5109,2849
567,0,5110,2172
568,0,5110,2518
569,0,5111,3310
570,0,5114,2158
571,0,5115,2856
572,0,5119,1675
573,0,5119,2521
574,0,5119,5057
575,0,5120,2553
576,0,5121,5052
577,0,5124,2140
578,0,5126,2079
579,0,5127,2523
580,0,5127,3090
581,0,5130,2128
582,0,5133,2792
583,0,5135,2529
584,0,5135,2854
585,0,5136,2763
586,0,5140,2134
587,0,5143,2885
588,0,5144,2132
589,0,5148,2756
590,0,5153,2163
591,0,5153,2173
592,0,5157,1684
593,0,5159,2173
594,0,5163,2589
595,0,5166,2143
596,0,5169,2588
597,0,5172,2554
598,0,5172,3434
599,0,5177,2740
600,0,5180,2173
601,0,5180,2765
602,0,5181,9403
603,0,5183,2555
604,0,5187,2647
605,0,5192,2610
606,0,5193,2171
607,0,5195,2647
608,0,5200,2516
609,0,5201,2640
610,0,5208,2517
611,0,5208,3251
612,0,5212,2599
613,0,5221,2500
614,0,5223,2139
615,0,5224,2527
616,0,5232,2198
617,0,5234,2515
618,0,5240,2189
619,0,5242,2180
620,0,5242,3229
621,0,5246,9103
622,0,5248,2556
623,0,5258,2193
624,0,5259,1681
625,0,5260,2571
626,0,5262,2197
627,0,5262,2522
628,0,5265,2192
629,0,5266,2518
630,0,5266,9099
631,0,5268,2204
632,0,5269,2559
633,0,5270,2564
634,0,5271,1676
635,0,5272,2522
636,0,5274,2502
637,0,5276,2520
638,0,5279,2514
639,0,5281,2214
640,0,5281,2227
641,0,5282,2552
642,0,5283,2519
643,0,5286,2236
644,0,5289,3648
645,0,5292,2455
646,0,5293,2462
647,0,5294,2229
648,0,5297,2117
649,0,5297,7736
650,0,5299,10016
651,0,5302,2116
652,0,5306,2519
653,0,5307,2417
